Player Name,Day,Month,Birth Year,Birth Date,Age,Market Value,Code,Team,Position
Ahmed Safi,14,1,1984,14/01/1984,40,100000,102,Aswan Sc,Right Back
Amr El Halwani,15,3,1985,15/03/1985,39,150000,104,Aswan Sc,Left Back
Haytham El Fil,20,12,1984,20/12/1984,39,50000,106,Aswan Sc,Defensive Midfield
Ahmed Abdelzaher,15,1,1985,15/01/1985,39,100000,108,Aswan Sc,Centre Forward
Talaat El Gabalawy,13,9,1987,13/09/1987,37,25000,110,Aswan Sc,Goal Keeper
Sayed Farid,11,5,1987,11/05/1987,37,200000,112,Aswan Sc,Centre Back
Abdelaziz Mousa,8,7,1989,08/07/1989,35,150000,114,Aswan Sc,Defensive Midfield
Ahmed Sobhi,4,3,1991,04/03/1991,33,100000,116,Aswan Sc,Right Back
Emmanuel Karbogi,31,3,1991,31/03/1991,33,200000,118,Aswan Sc,Defensive Midfield
Mohamed El Ashri,22,6,1991,22/06/1991,33,100000,120,Aswan Sc,Centre Back
Solomon Mensah,6,5,1992,06/05/1992,32,100000,122,Aswan Sc,Defensive Midfield
Ahmed Elalfi,1,1,1992,01/01/1992,32,150000,124,Aswan Sc,Left Winger
Mido,1,1,1994,01/01/1994,30,150000,126,Aswan Sc,Centre Back
Elhusseini Samir,1,1,1994,01/01/1994,30,50000,128,Aswan Sc,Left Midfield
Mohamed Gamal Treka,27,10,1993,27/10/1993,30,150000,130,Aswan Sc,Attacking Midfield
Khaled Walid,9,1,1995,09/01/1995,29,50000,132,Aswan Sc,Goal Keeper
Mahmoud Shaba,6,4,1995,06/04/1995,29,100000,134,Aswan Sc,Centre Back
Mahmoud Salah,10,10,1994,10/10/1994,29,150000,136,Aswan Sc,Right Winger
Ahmed Dahroug,1,1,1996,01/01/1996,28,,138,Aswan Sc,Left Back
Mohamed Osama,1,7,1995,01/07/1995,29,150000,140,Aswan Sc,Central Midfield
Mohamed Khalifa,7,7,1995,07/07/1995,29,50000,142,Aswan Sc,Central Midfield
Omar Radwan,31,7,1997,31/07/1997,27,100000,144,Aswan Sc,Goal Keeper
Fady Talaat,20,9,1997,20/09/1997,26,25000,146,Aswan Sc,Defensive Midfield
Ashraf Magdy,26,7,1997,26/07/1997,27,25000,148,Aswan Sc,Left Winger
Bebo,24,5,1997,24/05/1997,27,100000,150,Aswan Sc,Centre Forward
Ahmed El-Saghiri,10,6,1998,10/06/1998,26,200000,152,Aswan Sc,Defensive Midfield
Ahmed Belia,28,3,1999,28/03/1999,25,25000,154,Aswan Sc,Defensive Midfield
Omar Youssef,3,11,1998,03/11/1998,25,,156,Aswan Sc,Defensive Midfield
Ahmed Khaled,17,10,1998,17/10/1998,25,25000,158,Aswan Sc,Attacking Midfield
Amr Reda,18,1,1999,18/01/1999,25,,160,Aswan Sc,Attacking Midfield
Amr Sser,8,3,1999,08/03/1999,25,100000,162,Aswan Sc,Centre Forward
Hamza Magdi,1,1,1999,01/01/1999,25,,164,Aswan Sc,Centre Forward
Said Kanté,22,5,1999,22/05/1999,25,25000,166,Aswan Sc,Defensive Midfield
Omar Al Dahi,15,12,1999,15/12/1999,24,50000,168,Aswan Sc,Right Midfield
Ramy Sabry,5,1,1987,05/01/1987,37,200000,170,Enppi Sc,
